"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
6112,JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,J ORAL MAXIL SURG,0278-2391,"14,128",1.781,1.561,1.943,0.472,386,10.0,10.0,0.012080,0.505,90.93,58.791,1.43781
6112,OPHTHALMOLOGICA,OPHTHALMOLOGICA,0030-3755,"2,120",1.781,1.664,1.907,0.424,59,10.0,6.6,0.002340,0.550,89.83,47.500,0.27887
6115,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,BIOACOUSTICS,0952-4622,590,1.780,1.610,1.628,0.833,24,10.1,10.2,0.000660,0.532,95.83,77.353,0.07859
6115,Hereditary Cancer in Clinical Practice,HERED CANCER CLIN PR,1731-2302,319,1.780,1.707,1.871,0.250,16,5.0,6.8,0.000730,0.554,93.75,14.565,0.08790
6115,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,0261-5606,"4,327",1.780,1.653,2.448,0.245,98,8.4,9.0,0.007900,0.968,100.00,60.680,0.94007
6115,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,1435-9855,"1,816",1.780,1.775,2.258,0.736,72,5.7,10.2,0.016480,3.121,100.00,86.279,1.96115
6115,POLITICAL QUARTERLY,POLIT QUART,0032-3179,888,1.780,1.642,1.288,0.095,84,7.9,6.7,0.001450,0.407,98.81,64.489,0.17338
6120,IET Communications,IET COMMUN,1751-8628,"3,101",1.779,1.578,1.331,0.296,328,3.7,5.8,0.004890,0.241,99.09,42.669,0.58190
6120,International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,2234-7593,"3,337",1.779,1.275,1.512,0.222,216,4.8,8.1,0.004910,0.267,98.61,42.224,0.58445
6120,JOURNAL OF ECONOMIC ENTOMOLOGY,J ECON ENTOMOL,0022-0493,"13,721",1.779,1.441,1.970,0.405,380,10.2,10.1,0.009960,0.473,99.47,71.939,1.18545
6120,SOCIOLOGICAL FORUM,SOCIOL FORUM,0884-8971,"1,843",1.779,1.189,1.694,0.860,50,10.1,10.0,0.001910,0.625,100.00,70.608,0.22773
6120,ZOOLOGY,ZOOLOGY,0944-2006,"1,509",1.779,1.713,1.776,0.281,64,8.5,10.2,0.002120,0.581,96.88,76.765,0.25295
6125,Extremes,EXTREMES,1386-1999,649,1.778,1.524,1.844,0.625,32,8.4,10.2,0.003120,1.680,100.00,65.122,0.37203
6125,Image Analysis & Stereology,IMAGE ANAL STEREOL,1580-3139,348,1.778,1.111,1.615,0.000,20,7.4,9.9,0.000310,0.260,90.00,50.832,0.03715
6127,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,0091-0562,"6,073",1.777,1.203,3.070,0.700,80,10.2,9.2,0.004310,0.878,93.75,69.607,0.51283
6127,HISTOLOGY AND HISTOPATHOLOGY,HISTOL HISTOPATHOL,0213-3911,"4,244",1.777,1.733,1.717,0.842,120,9.0,7.8,0.003910,0.431,67.50,27.309,0.46529
6129,Cardiovascular Engineering and Technology,CARDIOVASC ENG TECHN,1869-408X,447,1.776,1.645,Not Available,0.796,54,3.7,7.3,0.000870,Not Available,94.44,31.305,0.10442
6129,Microscopy,MICROSCOPY-JPN,2050-5698,470,1.776,1.551,1.527,0.623,61,3.1,10.0,0.001820,0.489,88.52,55.000,0.21750
6131,BMC Surgery,BMC SURG,1471-2482,"1,621",1.775,1.737,2.034,0.177,113,4.6,8.4,0.004050,0.548,87.61,47.044,0.48272
6131,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,EUR J SOC PSYCHOL,0046-2772,"6,075",1.775,1.630,2.825,0.703,91,10.2,10.1,0.005910,1.264,100.00,51.587,0.70315
6131,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,J EMOT BEHAV DISORD,1063-4266,"1,168",1.775,1.600,2.539,0.667,21,10.2,10.1,0.000940,0.705,100.00,64.765,0.11300
6131,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,J TEACH PHYS EDUC,0273-5024,"1,413",1.775,1.388,2.062,0.585,41,10.1,10.0,0.000970,0.417,100.00,52.162,0.11588
6131,JOURNAL OF TEACHING IN PHYSICAL EDUCATION,J TEACH PHYS EDUC,0273-5024,"1,413",1.775,1.388,2.062,0.585,41,10.1,10.0,0.000970,0.417,100.00,52.162,0.11588
6136,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,J INTERF CYTOK RES,1079-9907,"3,360",1.774,1.707,2.348,0.355,62,9.0,8.6,0.003840,0.681,95.16,16.786,0.45784
6136,Journal of Sports Science and Medicine,J SPORT SCI MED,1303-2968,"3,257",1.774,1.683,2.580,0.278,79,7.3,9.0,0.004200,0.639,96.20,40.361,0.49970
6136,Quarterly Journal of Political Science,Q J POLIT SCI,1554-0626,582,1.774,1.677,2.857,0.250,16,7.6,10.1,0.003590,3.538,100.00,63.920,0.42797
6136,WATER AIR AND SOIL POLLUTION,WATER AIR SOIL POLL,0049-6979,"14,831",1.774,1.663,1.963,0.324,398,9.1,8.3,0.009860,0.333,98.24,38.330,1.17394
6140,Brazilian Oral Research,BRAZ ORAL RES,1807-3107,"1,490",1.773,1.675,1.766,0.276,76,6.1,8.0,0.002230,0.417,89.47,57.692,0.26617
6140,Chinese Journal of Natural Medicines,CHIN J NAT MEDICINES,2095-6975,"1,551",1.773,1.718,1.995,0.248,101,4.3,6.9,0.002610,0.341,97.03,39.867,0.31091
6140,JOURNAL OF HEALTH COMMUNICATION,J HEALTH COMMUN,1081-0730,"4,290",1.773,1.599,2.596,0.284,109,6.7,7.9,0.007660,0.836,97.25,59.318,0.91222
6140,JOURNAL OF PUBLIC ECONOMICS,J PUBLIC ECON,0047-2727,"11,146",1.773,1.645,2.938,0.301,143,10.2,9.5,0.020100,2.719,100.00,66.804,2.39173
6140,Journal of Semantics,J SEMANT,0167-5133,721,1.773,1.523,1.944,0.350,20,10.1,10.1,0.000780,0.656,100.00,85.054,0.09279
6145,Asia-Pacific Journal of Atmospheric Sciences,ASIA-PAC J ATMOS SCI,1976-7633,662,1.772,1.570,2.005,0.938,48,4.8,10.0,0.001620,0.560,100.00,35.465,0.19272
6145,Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,1995-7645,"2,819",1.772,1.706,1.772,0.157,102,4.7,6.8,0.004650,0.331,84.31,46.640,0.55319
6145,Journal of Interprofessional Care,J INTERPROF CARE,1356-1820,"2,977",1.772,1.362,2.345,0.342,114,6.5,7.2,0.003770,0.501,93.86,41.389,0.44929
6145,Journal of Interprofessional Care,J INTERPROF CARE,1356-1820,"2,977",1.772,1.362,2.345,0.342,114,6.5,7.2,0.003770,0.501,93.86,41.389,0.44929
6149,CLINICAL AND EXPERIMENTAL DERMATOLOGY,CLIN EXP DERMATOL,0307-6938,"4,870",1.771,1.695,1.646,0.711,97,10.0,7.8,0.004130,0.421,90.72,43.182,0.49245
6149,International Review for the Sociology of Sport,INT REV SOCIOL SPORT,1012-6902,"1,609",1.771,1.686,2.095,0.920,50,8.0,9.8,0.001780,0.492,100.00,56.601,0.21239
6149,NEOPLASMA,NEOPLASMA,0028-2685,"1,905",1.771,1.729,1.728,0.283,120,5.9,6.4,0.002450,0.344,95.00,14.130,0.29146
6149,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,RENEW AGR FOOD SYST,1742-1705,"1,207",1.771,1.729,2.251,1.146,48,7.0,9.0,0.001350,0.494,91.67,79.825,0.16067
6153,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,1386-145X,824,1.770,1.558,1.815,1.103,78,4.1,7.1,0.001450,0.409,100.00,49.044,0.17363
6154,APPLIED PHYSICS B-LASERS AND OPTICS,APPL PHYS B-LASERS O,0946-2171,"10,250",1.769,1.627,1.739,0.462,238,9.9,8.3,0.009710,0.462,100.00,44.984,1.15548
6154,Austral Entomology,AUSTRAL ENTOMOL,2052-1758,387,1.769,1.264,1.698,1.857,42,2.5,10.1,0.000970,0.407,88.10,70.918,0.11647
6154,INTERNATIONAL POLITICAL SCIENCE REVIEW,INT POLIT SCI REV,0192-5121,"1,321",1.769,1.747,2.074,0.732,41,8.9,10.1,0.002270,0.906,97.56,63.352,0.27051
6154,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,J APPL RES INTELLECT,1360-2322,"2,212",1.769,1.526,2.575,0.543,138,8.4,9.8,0.002310,0.596,83.33,65.709,0.27521
6158,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,BRIT J PHILOS SCI,0007-0882,"1,600",1.768,1.659,1.934,1.136,44,10.2,10.3,0.001440,0.599,100.00,92.286,0.17227
6158,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,BRIT J PHILOS SCI,0007-0882,"1,600",1.768,1.659,1.934,1.136,44,10.2,10.3,0.001440,0.599,100.00,92.286,0.17227
6158,European Journal of Population-Revue Europeenne de Demographie,EUR J POPUL,0168-6577,980,1.768,1.643,2.736,0.750,32,9.3,10.0,0.001610,1.112,100.00,74.138,0.19213
6158,Journal of School Nursing,J SCH NURS,1059-8405,830,1.768,1.354,1.750,0.591,44,6.2,6.3,0.001220,0.438,86.36,79.001,0.14590
6158,Journal of School Nursing,J SCH NURS,1059-8405,830,1.768,1.354,1.750,0.591,44,6.2,6.3,0.001220,0.438,86.36,79.001,0.14590
6163,INTERNAL MEDICINE JOURNAL,INTERN MED J,1444-0903,"3,729",1.767,1.581,1.923,0.455,209,5.9,6.6,0.006960,0.560,93.30,55.313,0.82808
6163,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,INT J BIOL MARKER,0393-6155,831,1.767,1.621,1.482,0.352,71,5.5,7.1,0.001070,0.287,81.69,21.817,0.12818
6163,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1076-9986,"2,047",1.767,1.674,2.687,0.500,24,10.3,10.1,0.002910,1.919,95.83,58.877,0.34660
6163,Yale Journal on Regulation,YALE J REGUL,0741-9457,390,1.767,1.533,Not Available,0.462,13,10.0,7.5,0.000380,Not Available,100.00,78.716,0.04635
6167,JOURNAL OF SURVEYING ENGINEERING,J SURV ENG,0733-9453,658,1.766,1.383,1.870,0.348,23,7.7,8.9,0.000620,0.325,100.00,51.136,0.07451
6167,RUBBER CHEMISTRY AND TECHNOLOGY,RUBBER CHEM TECHNOL,0035-9475,"3,037",1.766,1.117,1.565,0.370,46,10.4,10.2,0.000630,0.208,100.00,47.701,0.07502
6169,CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,1054-8807,"1,830",1.765,1.718,2.160,0.475,59,6.9,8.7,0.003280,0.712,94.92,34.375,0.39132
6169,Compare-A Journal of Comparative and International Education,COMPARE,0305-7925,944,1.765,1.643,1.596,0.377,61,7.4,9.2,0.001460,0.463,100.00,61.934,0.17448
6169,NORWEGIAN JOURNAL OF GEOLOGY,NORW J GEOL,0029-196X,"1,165",1.765,1.735,1.901,1.438,16,10.3,10.3,0.000670,0.634,100.00,41.071,0.08070
6169,SOCIAL SCIENCE RESEARCH,SOC SCI RES,0049-089X,"4,754",1.765,1.661,2.477,0.177,113,8.0,10.1,0.009230,1.086,100.00,69.257,1.09841
6173,Electronics,ELECTRONICS-SWITZ,2079-9292,975,1.764,1.405,Not Available,0.460,446,2.7,5.5,0.001890,Not Available,94.39,42.293,0.22537
6173,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,1355-3259,906,1.764,1.618,2.056,0.882,17,8.9,9.5,0.001030,0.624,100.00,68.855,0.12360
6173,REAL ESTATE ECONOMICS,REAL ESTATE ECON,1080-8620,"1,380",1.764,1.291,1.986,0.400,25,10.1,10.1,0.002350,1.211,100.00,56.663,0.27967
6176,JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,0021-9584,"12,588",1.763,1.007,1.745,0.335,364,10.2,9.5,0.005320,0.221,99.18,46.423,0.63372
6176,JOURNAL OF LEGAL STUDIES,J LEGAL STUD,0047-2530,"1,802",1.763,1.684,1.991,0.174,23,10.4,10.0,0.002450,1.646,100.00,77.365,0.29214
6176,Journal of Geriatric Cardiology,J GERIATR CARDIOL,1671-5411,917,1.763,1.676,1.892,0.190,79,3.4,6.4,0.002450,0.454,82.28,27.993,0.29188
6176,Review of International Organizations,REV INT ORGAN,1559-7431,545,1.763,1.553,3.348,1.190,21,5.0,9.9,0.002250,1.859,95.24,67.371,0.26873
6176,Ships and Offshore Structures,SHIPS OFFSHORE STRUC,1744-5302,902,1.763,1.222,1.579,0.468,109,3.6,9.1,0.001180,0.253,96.33,75.000,0.14137
6176,Thoracic Surgery Clinics,THORAC SURG CLIN,1547-4127,917,1.763,1.742,1.976,0.156,64,5.5,10.1,0.001610,0.497,100.00,33.990,0.19199
6182,Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,1866-6892,"1,756",1.762,1.577,2.133,0.641,103,4.8,9.0,0.003430,0.548,100.00,43.386,0.40883
6182,KNEE,KNEE,0968-0160,"4,176",1.762,1.686,2.081,0.319,163,6.5,8.7,0.007630,0.659,96.93,43.537,0.90828
6184,Journal of Forest Economics,J FOREST ECON,1104-6899,783,1.761,1.606,2.190,0.605,38,6.7,8.7,0.001040,0.560,94.74,63.213,0.12485
6184,Journal of Forest Economics,J FOREST ECON,1104-6899,783,1.761,1.606,2.190,0.605,38,6.7,8.7,0.001040,0.560,94.74,63.213,0.12485
6184,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,SCAND J PUBLIC HEALT,1403-4948,"5,128",1.761,1.644,1.873,0.820,139,7.6,7.9,0.004670,0.577,96.40,49.572,0.55570
6184,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,SCAND J PUBLIC HEALT,1403-4948,"5,128",1.761,1.644,1.873,0.820,139,7.6,7.9,0.004670,0.577,96.40,49.572,0.55570
6188,APPLIED PSYCHOLINGUISTICS,APPL PSYCHOLINGUIST,0142-7164,"2,532",1.760,1.683,2.279,0.423,52,10.2,10.2,0.002730,0.826,98.08,61.858,0.32574
6188,EXPERIMENTAL AND APPLIED ACAROLOGY,EXP APPL ACAROL,0168-8162,"3,533",1.760,1.529,1.830,0.300,120,9.1,10.1,0.003480,0.453,96.67,69.898,0.41442
6188,JOURNAL OF BASIC MICROBIOLOGY,J BASIC MICROB,0233-111X,"2,694",1.760,1.698,1.837,0.433,104,6.2,10.0,0.003480,0.380,92.31,21.429,0.41458
6188,PEDIATRIC DRUGS,PEDIATR DRUGS,1174-5878,"1,118",1.760,1.729,2.157,0.654,52,6.3,7.2,0.001860,0.600,55.77,39.428,0.22139
6192,JOURNAL OF DIFFERENTIAL GEOMETRY,J DIFFER GEOM,0022-040X,"4,484",1.759,1.701,2.093,0.690,42,10.4,10.2,0.008120,2.710,100.00,92.516,0.96640
6192,TRIBOLOGY TRANSACTIONS,TRIBOL T,1040-2004,"3,563",1.759,1.621,1.887,0.460,113,9.9,10.0,0.003020,0.387,100.00,50.000,0.36029
6192,YONSEI MEDICAL JOURNAL,YONSEI MED J,0513-5796,"3,725",1.759,1.693,1.666,0.284,162,6.1,7.5,0.005780,0.410,91.98,54.688,0.68876
6195,ADMINISTRATIVE LAW REVIEW,ADMIN LAW REV,0001-8368,796,1.758,1.364,1.840,0.643,14,10.2,8.3,0.000590,0.596,85.71,76.689,0.07024
6195,CONTINUUM MECHANICS AND THERMODYNAMICS,CONTINUUM MECH THERM,0935-1175,"1,259",1.758,1.562,1.671,0.931,72,6.4,10.1,0.002240,0.529,97.22,47.705,0.26758
6195,MACROMOLECULAR RESEARCH,MACROMOL RES,1598-5032,"2,862",1.758,1.497,1.616,0.431,174,5.9,7.4,0.002930,0.258,94.83,46.552,0.34916
6195,Transnational Environmental Law,TRANSNATL ENVIRON LA,2047-1025,210,1.758,1.303,2.027,2.100,20,3.1,5.3,0.000350,0.367,95.00,53.215,0.04202
6199,JOURNAL OF CLINICAL NURSING,J CLIN NURS,0962-1067,"10,922",1.757,1.554,2.154,0.514,552,7.3,7.4,0.012270,0.500,88.59,78.160,1.46008
6199,JOURNAL OF CLINICAL NURSING,J CLIN NURS,0962-1067,"10,922",1.757,1.554,2.154,0.514,552,7.3,7.4,0.012270,0.500,88.59,78.160,1.46008
6199,Postepy Dermatologii i Alergologii,POSTEP DERM ALERGOL,1642-395X,722,1.757,1.500,1.786,0.056,89,3.8,8.4,0.001720,0.358,80.90,32.870,0.20475
6202,BRAIN & DEVELOPMENT,BRAIN DEV-JPN,0387-7604,"3,930",1.756,1.664,1.706,0.453,150,9.4,8.5,0.004940,0.527,98.00,25.377,0.58836
6202,Migration Studies,MIGR STUD,2049-5838,291,1.756,1.689,2.606,0.762,21,4.3,10.0,0.001700,1.240,85.71,70.690,0.20251
6204,BIOMETRICS,BIOMETRICS,0006-341X,"21,431",1.755,1.637,2.002,0.420,143,10.4,10.0,0.012340,1.625,100.00,58.718,1.46817
6204,JOURNAL OF COMPOSITE MATERIALS,J COMPOS MATER,0021-9983,"9,727",1.755,1.619,1.865,0.461,319,10.0,10.0,0.007130,0.358,93.42,50.000,0.84923
6204,JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,0022-4065,"2,510",1.755,1.612,2.681,0.828,29,10.3,9.7,0.001650,1.052,100.00,56.372,0.19667
6207,IET Signal Processing,IET SIGNAL PROCESS,1751-9675,"1,332",1.754,1.567,1.544,0.307,140,4.2,7.9,0.002340,0.327,99.29,41.541,0.27874
6207,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,J OPER RES SOC,0160-5682,"7,621",1.754,1.594,1.921,0.736,148,10.2,10.0,0.004520,0.475,100.00,43.616,0.53786
6207,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,J OPER RES SOC,0160-5682,"7,621",1.754,1.594,1.921,0.736,148,10.2,10.0,0.004520,0.475,100.00,43.616,0.53786
6207,Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,REV BRAS FARMACOGN,0102-695X,"2,279",1.754,1.674,1.983,0.223,103,6.3,9.6,0.002560,0.365,99.03,25.345,0.30518
6211,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,J ELECTROMYOGR KINES,1050-6411,"5,533",1.753,1.567,2.117,0.353,136,9.4,10.1,0.005230,0.586,95.59,35.424,0.62263
6212,JOURNAL OF APICULTURAL RESEARCH,J APICULT RES,0021-8839,"2,248",1.752,1.497,2.514,0.726,73,8.2,10.0,0.002640,0.576,89.04,68.878,0.31484
6212,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,P I MECH ENG B-J ENG,0954-4054,"4,536",1.752,1.361,1.977,0.502,227,6.7,9.2,0.003810,0.294,96.48,40.429,0.45335
6214,Clinical Respiratory Journal,CLIN RESPIR J,1752-6981,"1,300",1.751,1.626,1.738,0.757,333,2.8,9.0,0.002620,0.445,92.49,19.841,0.31260
6214,RESEARCH IN VETERINARY SCIENCE,RES VET SCI,0034-5288,"6,187",1.751,1.696,1.762,0.500,196,7.9,9.4,0.007070,0.443,93.37,76.950,0.84156
6216,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,EUR ARCH OTO-RHINO-L,0937-4477,"8,038",1.750,1.610,1.683,0.381,362,5.6,8.3,0.015250,0.466,89.23,55.952,1.81480
6216,Economics of Transportation,ECON TRANSP,2212-0122,207,1.750,1.667,Not Available,0.071,14,4.1,9.9,0.000920,Not Available,100.00,47.435,0.10988
6216,Feminist Criminology,FEM CRIMINOL,1557-0851,520,1.750,1.625,2.329,0.192,26,7.4,10.1,0.000610,0.589,96.15,63.846,0.07310
6216,INTERNATIONAL JOURNAL OF HEALTH SERVICES,INT J HEALTH SERV,0020-7314,"1,471",1.750,1.614,1.695,0.400,45,10.1,8.7,0.001600,0.553,100.00,40.269,0.19097
6216,INTERNATIONAL JOURNAL OF HEALTH SERVICES,INT J HEALTH SERV,0020-7314,"1,471",1.750,1.614,1.695,0.400,45,10.1,8.7,0.001600,0.553,100.00,40.269,0.19097
6216,International Journal of Material Forming,INT J MATER FORM,1960-6206,"1,243",1.750,1.605,1.837,0.464,69,8.0,10.0,0.001300,0.386,97.10,43.349,0.15568
6216,JOURNAL OF EARLY ADOLESCENCE,J EARLY ADOLESCENCE,0272-4316,"2,302",1.750,1.708,2.242,0.755,53,10.1,10.2,0.002580,0.847,98.11,52.989,0.30744
6216,Journal of the Economics of Ageing,J ECON AGEING,2212-828X,176,1.750,1.475,Not Available,0.481,27,3.2,8.9,0.001060,Not Available,100.00,61.444,0.12704
6216,PHYTOCOENOLOGIA,PHYTOCOENOLOGIA,0340-269X,587,1.750,1.045,1.424,1.111,27,10.2,10.2,0.000320,0.268,66.67,48.686,0.03874
6216,Recent Patents on Nanotechnology,RECENT PAT NANOTECH,1872-2105,345,1.750,1.727,2.115,0.524,21,5.3,6.9,0.000430,0.340,33.33,35.086,0.05124
6216,SECOND LANGUAGE RESEARCH,SECOND LANG RES,0267-6583,949,1.750,1.659,2.048,1.091,22,10.1,10.0,0.000940,0.684,81.82,72.745,0.11284
6216,SOCIAL PSYCHOLOGY QUARTERLY,SOC PSYCHOL QUART,0190-2725,"3,342",1.750,1.650,2.747,0.188,16,10.4,10.1,0.001580,1.266,100.00,50.000,0.18896
6216,Swiss Political Science Review,SWISS POLIT SCI REV,1424-7755,560,1.750,1.346,1.705,2.900,20,5.3,7.8,0.001390,0.724,90.00,62.216,0.16603
6229,EURASIP Journal on Advances in Signal Processing,EURASIP J ADV SIG PR,1687-6180,"3,953",1.749,1.716,1.703,0.192,73,8.5,8.0,0.003860,0.433,95.89,41.165,0.45929
6229,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,J SPEECH LANG HEAR R,1092-4388,"7,768",1.749,1.431,2.286,0.350,214,10.0,10.1,0.007460,0.634,95.33,68.095,0.88755
6229,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,J SPEECH LANG HEAR R,1092-4388,"7,768",1.749,1.431,2.286,0.350,214,10.0,10.1,0.007460,0.634,95.33,68.095,0.88755
6232,BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,0269-3879,"4,216",1.748,1.482,1.618,0.437,309,6.0,7.8,0.004620,0.288,96.12,25.668,0.55033
6233,ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ASIAN PAC J ALLERGY,0125-877X,752,1.747,1.620,1.561,0.243,37,6.6,8.6,0.001040,0.368,89.19,17.622,0.12377
6233,Food Science & Nutrition,FOOD SCI NUTR,2048-7177,"1,068",1.747,1.631,Not Available,0.270,281,3.3,9.5,0.002380,Not Available,96.80,50.741,0.28334
6235,ADVANCES IN SPACE RESEARCH,ADV SPACE RES,0273-1177,"11,413",1.746,1.465,1.700,0.630,492,8.8,9.6,0.014590,0.482,98.98,39.206,1.73613
6235,CULTURE HEALTH & SEXUALITY,CULT HEALTH SEX,1369-1058,"2,321",1.746,1.437,2.224,0.536,97,6.1,8.3,0.004620,0.714,100.00,62.597,0.54991
6235,CURRENT SOCIOLOGY,CURR SOCIOL,0011-3921,"1,845",1.746,1.702,2.505,0.426,61,7.5,10.0,0.003470,0.911,98.36,68.581,0.41369
6235,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,INT J GYNECOL CANCER,1048-891X,"6,622",1.746,1.596,2.100,0.439,237,7.0,7.2,0.009830,0.572,91.98,25.606,1.16939
6235,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,0022-2631,"4,087",1.746,1.615,2.020,1.085,59,10.2,10.1,0.002680,0.445,94.92,20.480,0.31947
6235,JOURNAL OF VIROLOGICAL METHODS,J VIROL METHODS,0166-0934,"7,508",1.746,1.575,1.656,0.495,194,8.9,8.0,0.008670,0.466,99.48,25.028,1.03206
6241,BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,0301-4622,"4,523",1.745,1.651,1.949,0.425,73,10.2,10.1,0.002860,0.523,98.63,24.663,0.34070
6241,Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,367,1.745,1.511,Not Available,0.000,30,4.2,9.5,0.000350,Not Available,90.00,41.264,0.04262
6243,EUROPEAN JOURNAL OF PLANT PATHOLOGY,EUR J PLANT PATHOL,0929-1873,"5,885",1.744,1.540,1.754,0.390,272,8.3,10.1,0.006410,0.419,97.43,66.827,0.76315
6243,Journal of Palaeogeography-English,J PALAEOGEOG-ENGLISH,2095-3836,238,1.744,1.558,Not Available,0.519,27,3.6,10.2,0.000810,Not Available,92.59,59.938,0.09651
6245,Asia-Pacific Journal of Public Health,ASIA-PAC J PUBLIC HE,1010-5395,"1,561",1.743,1.430,1.385,0.294,68,4.2,6.3,0.003270,0.375,95.59,48.998,0.38900
6245,Asia-Pacific Journal of Public Health,ASIA-PAC J PUBLIC HE,1010-5395,"1,561",1.743,1.430,1.385,0.294,68,4.2,6.3,0.003270,0.375,95.59,48.998,0.38900
6245,BREEDING SCIENCE,BREEDING SCI,1344-7610,"1,702",1.743,1.615,2.185,0.359,64,7.7,10.1,0.001950,0.489,75.00,61.264,0.23289
6245,Canadian Water Resources Journal,CAN WATER RESOUR J,0701-1784,686,1.743,1.657,1.589,0.913,23,8.6,10.0,0.000830,0.419,100.00,41.209,0.09936
6245,Cardiology Journal,CARDIOL J,1897-5593,"1,144",1.743,1.507,1.429,0.707,75,5.2,6.3,0.001910,0.344,96.00,29.779,0.22789
6245,Journal of Physiological Anthropology,J PHYSIOL ANTHROPOL,1880-6805,758,1.743,1.486,2.029,0.286,28,6.2,9.5,0.001090,0.472,89.29,26.543,0.12970
6245,Journal of the Brazilian Society of Mechanical Sciences and Engineering,J BRAZ SOC MECH SCI,1678-5878,"2,138",1.743,1.421,1.636,0.260,573,2.7,8.5,0.002910,0.247,98.08,48.450,0.34623
6245,Marine Biodiversity,MAR BIODIVERS,1867-1616,"1,153",1.743,1.514,2.069,0.839,193,3.2,10.2,0.002550,0.559,97.93,55.167,0.30407
6253,AJIDD-American Journal on Intellectual and Developmental Disabilities,AJIDD-AM J INTELLECT,1944-7515,940,1.742,1.697,2.335,0.389,36,6.3,9.7,0.001690,0.754,88.89,70.626,0.20148
6253,BULLETIN OF MARINE SCIENCE,B MAR SCI,0007-4977,"5,116",1.742,1.720,2.095,0.850,80,10.4,10.1,0.002010,0.688,100.00,53.388,0.24002
6253,DRUG DEVELOPMENT RESEARCH,DRUG DEVELOP RES,0272-4391,"1,525",1.742,1.629,1.831,0.349,43,10.1,8.4,0.001310,0.374,97.67,24.151,0.15675
6253,ECOLOGY OF FRESHWATER FISH,ECOL FRESHW FISH,0906-6691,"2,043",1.742,1.617,2.076,0.781,96,8.9,10.2,0.002310,0.601,100.00,56.375,0.27487
6253,Health Information Management Journal,HEALTH INF MANAG J,1833-3583,320,1.742,1.387,2.014,0.714,14,6.3,7.5,0.000390,0.426,92.86,37.383,0.04750
6253,Health Information Management Journal,HEALTH INF MANAG J,1833-3583,320,1.742,1.387,2.014,0.714,14,6.3,7.5,0.000390,0.426,92.86,37.383,0.04750
